deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
0,0,0,12,18,0,2000,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1984-06-12,1984-06-17,1984-06-17
0,0,0,0,0,0,18000,0,12000,0,0,0,0,100.0,0,0.0,FLOODS,1984-07-03,1984-07-08,1984-07-08
0,0,0,0,0,0,20000,0,0,0,0,0,0,1000.0,0,0.0,FLOODS,1984-07-09,1984-07-14,1984-07-14
1,5,0,5,223,0,15400,0,0,0,0,0,0,22200.0,0,0.0,FLOODS,1984-07-17,1984-07-22,1984-07-22
1,0,0,0,23,0,0,0,0,0,500000000,0,1,600.0,0,0.0,FLOODS,1984-07-28,1984-08-02,1984-08-02
4,0,0,363,550,120,0,0,600,0,5000000,0,0,54550.0,0,0.0,FLOODS,1984-08-03,1984-08-08,1984-08-08
16,28,5,49,735,3000,10000,0,0,0,250000000,0,0,40400.0,300,0.0,FLOODS,1984-08-09,1984-08-14,1984-08-14
0,0,0,40,0,100,0,0,0,0,2000000,0,0,0.0,0,0.0,FLOODS,1984-08-15,1984-08-20,1984-08-20
1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1984-08-24,1984-08-29,1984-08-29
47,0,12,0,0,0,800,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1984-09-02,1984-09-07,1984-09-07
3,5,0,1000,3000,19800,14000,0,1000,0,0,0,0,8000.0,0,0.0,FLOODS,1984-09-08,1984-09-13,1984-09-13
12,0,0,0,0,0,3000,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1984-09-17,1984-09-22,1984-09-22
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1984-09-26,1984-10-01,1984-10-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1984-10-02,1984-10-07,1984-10-07
0,0,0,0,0,0,1600,0,0,0,0,0,0,200.0,0,0.0,FLOODS,1984-10-16,1984-10-21,1984-10-21
0,0,0,6000,300,0,0,0,6000,0,0,0,0,0.0,0,0.0,FLOODS,1984-12-18,1984-12-23,1984-12-23
0,0,0,400,0,0,51300,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1985-01-08,1985-01-13,1985-01-13
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1985-01-15,1985-01-20,1985-01-20
0,0,0,0,320,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1985-04-10,1985-04-15,1985-04-15
1,0,4,0,0,0,20000,0,250,0,0,0,0,0.0,0,0.0,FLOODS,1985-06-03,1985-06-08,1985-06-08
0,0,0,0,300,100000,83200,0,0,0,150000000,0,0,750.0,0,0.0,FLOODS,1985-06-17,1985-06-22,1985-06-22
2,1,0,0,10001,500,0,0,0,0,0,0,0,5000.0,0,0.0,FLOODS,1985-07-01,1985-07-06,1985-07-06
0,9,0,0,100,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1985-08-13,1985-08-18,1985-08-18
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1985-09-20,1985-09-25,1985-09-25
0,0,0,30,170,80000,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1985-10-09,1985-10-14,1985-10-14
0,0,0,0,0,0,0,0,0,0,0,0,0,80000.0,0,0.0,FLOODS,1986-01-23,1986-01-28,1986-01-28
2,0,0,0,1400,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1986-05-24,1986-05-29,1986-05-29
1,0,0,900,800,8000,0,0,0,0,0,0,0,0.0,400,289000.0,FLOODS,1986-05-30,1986-06-04,1986-06-04
2,0,0,1,0,0,15000,0,0,0,0,0,0,0.0,1000,0.0,FLOODS,1986-06-06,1986-06-11,1986-06-11
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1986-06-17,1986-06-22,1986-06-22
0,0,0,4,0,248,0,0,0,0,120000000,0,0,3000.0,0,0.0,FLOODS,1986-07-01,1986-07-06,1986-07-06
